商品ID,商品名称,类别,描述,价格,销量,评分,库存,上架时间,用户评论
P861267,洽洽 休闲零食 新款,休闲零食,三只松鼠 休闲零食，精选优质材料，适合各类人群使用。,973.35,20,5.0,719,2025-06-26,质量很好，非常满意
P136159,苹果 吸尘器 青春版,吸尘器,新款知名品牌 吸尘器，采用先进工艺，品质保证。,500.34,4576,4.5,449,2025-05-18,性价比高，值得购买
P988955,vivo 电饭煲 经典款,电饭煲,新款知名品牌 电饭煲，采用先进工艺，品质保证。,54.14,11699,3.5,906,2024-09-20,和描述的一致，不错
P453856,vivo 电饭煲 经典款,电饭煲,知名品牌出品电饭煲，深受消费者喜爱，口碑之选。,813.01,4138,4.5,101,2024-12-10,用起来很方便，推荐
P931406,苹果 牛奶 青春版,牛奶,知名品牌出品牛奶，深受消费者喜爱，口碑之选。,981.52,1344,4.0,413,2024-02-05,质量很好，非常满意
P729221,小米 婴儿奶粉 经典款,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,877.06,439,2.5,84,2024-02-13,不太符合预期
P268674,OPPO 智能手机 新款,智能手机,小米出品智能手机，深受消费者喜爱，口碑之选。,5633.32,128,4.5,454,2024-10-23,用起来很方便，推荐
P653333,华为 婴儿车 新款,婴儿车,新款知名品牌 婴儿车，采用先进工艺，品质保证。,490.26,158,5.0,515,2024-09-24,性价比高，值得购买
P361662,vivo 台灯 新款,台灯,知名品牌出品台灯，深受消费者喜爱，口碑之选。,329.73,33,2.0,434,2025-02-06,不太符合预期
P560991,华为 婴儿奶粉 Pro,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,972.21,11,5.0,829,2024-10-20,质量很好，非常满意
P947726,小米 牛仔裤 经典款,牛仔裤,新款知名品牌 牛仔裤，采用先进工艺，品质保证。,426.87,3585,3.0,877,2024-10-07,有点小瑕疵，但总体还行
P443253,华为 防晒霜 Pro,防晒霜,知名品牌 防晒霜，精选优质材料，适合各类人群使用。,120.97,424,4.5,328,2024-12-05,用起来很方便，推荐
P200791,小米 口红 新款,口红,知名品牌出品口红，深受消费者喜爱，口碑之选。,281.73,3723,4.5,844,2025-03-08,性价比高，值得购买
P265378,苹果 女士连衣裙 Pro,女士连衣裙,知名品牌 女士连衣裙，精选优质材料，适合各类人群使用。,497.93,431,4.0,733,2024-01-28,用起来很方便，推荐
P507111,苹果 运动鞋 经典款,运动鞋,知名品牌出品运动鞋，深受消费者喜爱，口碑之选。,457.14,9098,4.5,36,2025-05-22,用起来很方便，推荐
P227489,华为 笔记本电脑 青春版,笔记本电脑,戴尔 笔记本电脑，精选优质材料，适合各类人群使用。,14806.1,2437,4.5,987,2023-09-14,质量很好，非常满意
P576271,小米 智能手表 青春版,智能手表,新款知名品牌 智能手表，采用先进工艺，品质保证。,2009.85,273,3.5,350,2024-06-09,和描述的一致，不错
P780908,小米 智能手表 青春版,智能手表,新款知名品牌 智能手表，采用先进工艺，品质保证。,2372.24,11067,4.5,106,2025-01-28,性价比高，值得购买
P699383,vivo 婴儿奶粉 Pro,婴儿奶粉,知名品牌出品婴儿奶粉，深受消费者喜爱，口碑之选。,101.82,151,4.5,256,2024-10-25,用起来很方便，推荐
P282363,苹果 台灯 青春版,台灯,新款知名品牌 台灯，采用先进工艺，品质保证。,338.9,1774,4.5,110,2024-06-02,质量很好，非常满意
P747474,小米 平板电脑 经典款,平板电脑,知名品牌 平板电脑，精选优质材料，适合各类人群使用。,2413.69,2482,5.0,794,2023-09-23,用起来很方便，推荐
P292033,华为 口红 Pro,口红,知名品牌出品口红，深受消费者喜爱，口碑之选。,375.16,333,3.0,203,2023-11-22,和描述的一致，不错
P932336,小米 牛奶 青春版,牛奶,知名品牌 牛奶，精选优质材料，适合各类人群使用。,953.34,1938,4.5,90,2023-11-19,用起来很方便，推荐
P988400,小米 婴儿奶粉 新款,婴儿奶粉,新款知名品牌 婴儿奶粉，采用先进工艺，品质保证。,147.44,202,4.5,446,2024-08-12,用起来很方便，推荐
P482622,兰蔻 保湿面霜 新款,保湿面霜,SK-II出品保湿面霜，深受消费者喜爱，口碑之选。,232.01,9402,4.0,670,2024-05-09,用起来很方便，推荐
P199691,苹果 台灯 新款,台灯,知名品牌 台灯，精选优质材料，适合各类人群使用。,667.79,347,4.5,905,2024-11-27,质量很好，非常满意
P547961,华为 防晒霜 Pro,防晒霜,知名品牌 防晒霜，精选优质材料，适合各类人群使用。,137.54,118,3.5,817,2025-05-31,有点小瑕疵，但总体还行
P261410,相宜本草 保湿面霜 Pro,保湿面霜,新款资生堂 保湿面霜，采用先进工艺，品质保证。,1703.21,1218,4.5,459,2024-03-17,性价比高，值得购买
P709401,OPPO 女士连衣裙 Pro,女士连衣裙,新款知名品牌 女士连衣裙，采用先进工艺，品质保证。,584.98,414,4.5,188,2024-12-12,用起来很方便，推荐
